
Google  Inc.,Last: 2691,Change:  36.9201
"Date: February 26, 2022, 3:59 PM EST",Bid: 2686.5999,Ask: 2694.1902,Size: 1*1,"Volume: 635,649"
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Jan 20 2023,GOOG230120C00720000,2093.07,0,1979,1992.4,0,0.6113,0.995,0,266,720.00,GOOG230120P00720000,1.2,0,0.2,1.2,0,0.5156,-0.0016,0,212
Fri Jan 20 2023,GOOG230120C00740000,2182.35,0,1959.3,1972.7,0,0.6113,0.9943,0,192,740.00,GOOG230120P00740000,0.75,0,0.1,1.3,0,0.5034,-0.0015,0,103
Fri Jan 20 2023,GOOG230120C00760000,2186.96,0,1939.7,1953,0,0.6032,0.994,0,182,760.00,GOOG230120P00760000,0.7,0.025,0.4,0.95,2,0.4935,-0.0016,0,68
Fri Jan 20 2023,GOOG230120C00780000,0,0,1920,1933.3,0,0.5871,0.9941,0,156,780.00,GOOG230120P00780000,4.35,0,0,1.45,0,0.4855,-0.0017,0,16
Fri Jan 20 2023,GOOG230120C00800000,1961.9,0,1900.3,1913.7,0,0.5971,0.9926,0,71,800.00,GOOG230120P00800000,1.16,0,0.15,1.5,0,0.4828,-0.0019,0,93
Fri Jan 20 2023,GOOG230120C00820000,2132,0,1880.7,1894,0,0.5792,0.9929,0,166,820.00,GOOG230120P00820000,0,0,0.1,1.6,0,0.4795,-0.0021,0,13
Fri Jan 20 2023,GOOG230120C00840000,2065.5,0,1861.1,1874.4,0,0.5654,0.9929,0,124,840.00,GOOG230120P00840000,0,0,0.2,1.75,0,0.477,-0.0024,0,12
Fri Jan 20 2023,GOOG230120C00860000,2034.5,0,1841.5,1854.8,0,0.5589,0.9925,0,93,860.00,GOOG230120P00860000,2.8,0,0.35,1.85,0,0.4739,-0.0027,0,28
Fri Jan 20 2023,GOOG230120C00880000,0,0,1821.9,1835.2,0,0.5523,0.9921,0,72,880.00,GOOG230120P00880000,0,0,0.6,2,0,0.4715,-0.0031,0,20
Fri Jan 20 2023,GOOG230120C00900000,2019.26,0,1802.3,1815.6,0,0.5633,0.9902,0,75,900.00,GOOG230120P00900000,1.5,0,0.65,2.2,0,0.4703,-0.0035,0,35
Fri Jan 20 2023,GOOG230120C00920000,0,0,1782.8,1796,0,0.5399,0.9911,0,71,920.00,GOOG230120P00920000,2.5,0,0.95,2.35,0,0.4667,-0.0039,0,23
Fri Jan 20 2023,GOOG230120C00940000,1955,0,1763.2,1776.5,0,0.5348,0.9904,0,67,940.00,GOOG230120P00940000,3.9,0,1.05,2.55,0,0.4643,-0.0043,0,37
Fri Jan 20 2023,GOOG230120C00960000,0,0,1743.7,1757,0,0.5281,0.99,0,57,960.00,GOOG230120P00960000,3,0,1.25,2.75,0,0.4621,-0.0048,0,49
Fri Jan 20 2023,GOOG230120C00980000,0,0,1724.2,1737.4,0,0.5228,0.9893,0,27,980.00,GOOG230120P00980000,6.6,0,1.45,3,0,0.4595,-0.0053,0,30
Fri Jan 20 2023,GOOG230120C01000000,1756,0,1704.7,1717.9,0,0.5245,0.9879,0,65,1000.00,GOOG230120P01000000,2.45,-0.475,1.7,3.3,1,0.4575,-0.0059,0,287
Fri Jan 20 2023,GOOG230120C01020000,1920.6,0,1685.2,1698.4,0,0.5126,0.988,0,22,1020.00,GOOG230120P01020000,4.86,0,1.95,3.5,0,0.454,-0.0064,0,37
Fri Jan 20 2023,GOOG230120C01040000,0,0,1665.8,1679,0,0.5077,0.9872,0,44,1040.00,GOOG230120P01040000,5.7,0,2.25,3.8,0,0.4517,-0.0071,0,94
Fri Jan 20 2023,GOOG230120C01060000,0,0,1646.4,1659.5,0,0.5087,0.9857,0,22,1060.00,GOOG230120P01060000,2.6,0,2.55,4.1,0,0.4499,-0.0079,0,93
Fri Jan 20 2023,GOOG230120C01080000,0,0,1627,1640.1,0,0.498,0.9856,0,21,1080.00,GOOG230120P01080000,3.26,0,2.9,4.5,0,0.4472,-0.0086,0,52
Fri Jan 20 2023,GOOG230120C01100000,0,0,1607.6,1620.7,0,0.5012,0.9837,0,31,1100.00,GOOG230120P01100000,3.63,0,3.4,4.8,0,0.4445,-0.0093,0,88
Fri Jan 20 2023,GOOG230120C01120000,0,0,1588.3,1601.4,0,0.4898,0.9837,0,17,1120.00,GOOG230120P01120000,5.5,0,3.6,5.2,0,0.4423,-0.0102,0,54
Fri Jan 20 2023,GOOG230120C01140000,0,0,1569,1582.1,0,0.4857,0.9827,0,14,1140.00,GOOG230120P01140000,4.73,0,4.2,5.7,0,0.4403,-0.0112,0,78
Fri Jan 20 2023,GOOG230120C01160000,0,0,1549.7,1562.8,0,0.4862,0.981,0,21,1160.00,GOOG230120P01160000,5.55,0,4.7,6.1,0,0.4379,-0.0121,0,43
Fri Jan 20 2023,GOOG230120C01180000,0,0,1530.5,1543.6,0,0.482,0.9798,0,12,1180.00,GOOG230120P01180000,5.88,0,5.2,6.7,0,0.4364,-0.0133,0,23
Fri Jan 20 2023,GOOG230120C01200000,0,0,1511.3,1524.4,0,0.4803,0.9783,0,19,1200.00,GOOG230120P01200000,6.6,-0.65,5.6,7.2,1,0.4349,-0.0145,0,162
Fri Jan 20 2023,GOOG230120C01220000,0,0,1492.2,1505.2,0,0.4746,0.9773,0,17,1220.00,GOOG230120P01220000,10.25,0,6.3,7.8,0,0.433,-0.0157,0,65
Fri Jan 20 2023,GOOG230120C01240000,0,0,1473.1,1486.1,0,0.4711,0.976,0,18,1240.00,GOOG230120P01240000,11.15,0,6.9,8.4,0,0.4312,-0.017,0,50
Fri Jan 20 2023,GOOG230120C01260000,0,0,1454,1467,0,0.464,0.9752,0,12,1260.00,GOOG230120P01260000,12.15,0,7.7,9.1,0,0.4291,-0.0184,0,249
Fri Jan 20 2023,GOOG230120C01280000,1597.55,0,1435,1447.9,0,0.4653,0.9728,0.0001,12,1280.00,GOOG230120P01280000,13.2,0,8.1,9.8,0,0.4274,-0.0199,0,88
Fri Jan 20 2023,GOOG230120C01300000,1291.61,0,1416,1428.9,0,0.4618,0.9712,0.0001,22,1300.00,GOOG230120P01300000,12,0,8.8,10.6,0,0.4253,-0.0214,0,298
Fri Jan 20 2023,GOOG230120C01320000,1360.92,0,1397,1409.9,0,0.4584,0.9696,0.0001,13,1320.00,GOOG230120P01320000,12.13,0,9.7,11.4,0,0.4233,-0.023,0.0001,236
Fri Jan 20 2023,GOOG230120C01340000,1341.88,0,1378.1,1391,0,0.4539,0.9682,0.0001,11,1340.00,GOOG230120P01340000,12.98,0,10.5,12.2,0,0.4209,-0.0246,0.0001,32
Fri Jan 20 2023,GOOG230120C01360000,0,0,1359.2,1372.1,0,0.4479,0.9671,0.0001,19,1360.00,GOOG230120P01360000,10.2,0,11.3,13.1,0,0.4187,-0.0263,0.0001,30
Fri Jan 20 2023,GOOG230120C01380000,1542.7,0,1340.3,1353.2,0,0.4446,0.9652,0.0001,7,1380.00,GOOG230120P01380000,13.1,0,12.2,14,0,0.4165,-0.0281,0.0001,82
Fri Jan 20 2023,GOOG230120C01400000,1445,0,1321.5,1334.4,0,0.4482,0.9616,0.0001,41,1400.00,GOOG230120P01400000,13.9,-1.7,13.1,15,2,0.4135,-0.0298,0.0001,227
Fri Jan 20 2023,GOOG230120C01410000,1572.17,0,1312.1,1325,0,0.4398,0.9624,0.0001,4,1410.00,GOOG230120P01410000,14.8,0,13.5,15.5,0,0.4133,-0.031,0.0001,168
Fri Jan 20 2023,GOOG230120C01420000,0,0,1302.8,1315.6,0,0.4384,0.9613,0.0001,21,1420.00,GOOG230120P01420000,14.4,0,14,16,0,0.412,-0.032,0.0001,62
Fri Jan 20 2023,GOOG230120C01430000,0,0,1293.4,1306.2,0,0.44,0.9594,0.0001,0,1430.00,GOOG230120P01430000,14.7,0,14.5,16.5,0,0.4112,-0.0331,0.0001,59
Fri Jan 20 2023,GOOG230120C01440000,0,0,1284.1,1296.8,0,0.4404,0.9578,0.0001,8,1440.00,GOOG230120P01440000,22.97,0,15,17.1,0,0.4098,-0.0341,0.0001,76
Fri Jan 20 2023,GOOG230120C01450000,1350,0,1274.7,1287.5,0,0.4337,0.9582,0.0001,5,1450.00,GOOG230120P01450000,23.82,0,15.5,17.6,0,0.4089,-0.0351,0.0001,29
Fri Jan 20 2023,GOOG230120C01460000,1306.5,0,1265.4,1278.2,0,0.4353,0.9562,0.0001,3,1460.00,GOOG230120P01460000,19.57,0,16.1,18.2,0,0.408,-0.0363,0.0001,35
Fri Jan 20 2023,GOOG230120C01470000,0,0,1256.1,1268.8,0,0.4358,0.9545,0.0001,2,1470.00,GOOG230120P01470000,16.1,0,16.6,18.7,0,0.4064,-0.0373,0.0001,17
Fri Jan 20 2023,GOOG230120C01480000,0,0,1246.8,1259.5,0,0.4322,0.9539,0.0001,4,1480.00,GOOG230120P01480000,13.46,0,17.2,19.3,0,0.4055,-0.0385,0.0001,6
Fri Jan 20 2023,GOOG230120C01490000,1328,0,1237.5,1250.2,0,0.4325,0.9522,0.0001,3,1490.00,GOOG230120P01490000,18.2,0,17.7,19.9,0,0.4045,-0.0397,0.0001,34
Fri Jan 20 2023,GOOG230120C01500000,1113.4,0,1228.2,1240.9,0,0.4291,0.9516,0.0001,67,1500.00,GOOG230120P01500000,26.85,0,18.3,20.6,0,0.4035,-0.0409,0.0001,190
Fri Jan 20 2023,GOOG230120C01510000,0,0,1219,1231.7,0,0.4295,0.9498,0.0001,2,1510.00,GOOG230120P01510000,27.65,0,18.9,21.2,0,0.4022,-0.0421,0.0001,9
Fri Jan 20 2023,GOOG230120C01515000,0,0,1214.4,1227,0,0.4286,0.9492,0.0001,3,1515.00,GOOG230120P01515000,29.65,0,19.2,21.5,0,0.4019,-0.0427,0.0001,5
